epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,747.034,1.43909,0.78243,0.00297,0.70243,0.49526,0.57146,0.3356,1.47623,0.8596,0.00492,0.000169718,0.000169718,0.000169718
79,758.574,1.44082,0.79025,0.00297,0.49189,0.53457,0.57084,0.34324,1.4663,0.84013,0.0049,0.000162649,0.000162649,0.000162649
80,770.165,1.41403,0.77555,0.00294,0.53475,0.55036,0.5611,0.33915,1.47004,0.84135,0.00496,0.000155581,0.000155581,0.000155581
81,782.221,1.40873,0.76394,0.00293,0.51885,0.56407,0.57285,0.3461,1.46267,0.84867,0.00488,0.000148512,0.000148512,0.000148512
82,793.781,1.43109,0.77713,0.00293,0.52558,0.5797,0.58513,0.3541,1.47444,0.84214,0.00493,0.000141443,0.000141443,0.000141443
83,805.189,1.42715,0.77616,0.00293,0.54875,0.60081,0.57868,0.34984,1.46079,0.84368,0.00493,0.000134375,0.000134375,0.000134375
84,816.889,1.41669,0.77163,0.00295,0.49862,0.56476,0.55906,0.33472,1.47658,0.84149,0.00497,0.000127306,0.000127306,0.000127306
85,828.811,1.39434,0.76529,0.00291,0.60331,0.52439,0.56113,0.33839,1.46868,0.83683,0.00489,0.000120238,0.000120238,0.000120238
86,840.437,1.43068,0.78142,0.00291,0.50197,0.55951,0.56454,0.3446,1.47211,0.8376,0.00491,0.000113169,0.000113169,0.000113169
87,851.828,1.40226,0.77064,0.00291,0.52525,0.56202,0.56636,0.34635,1.46831,0.82669,0.00493,0.0001061,0.0001061,0.0001061
88,863.574,1.41332,0.77039,0.00289,0.54394,0.5947,0.56975,0.34824,1.46096,0.81912,0.00486,9.90318e-05,9.90318e-05,9.90318e-05
89,875.596,1.4049,0.76871,0.00293,0.52416,0.59944,0.56683,0.34172,1.46938,0.82638,0.00492,9.19632e-05,9.19632e-05,9.19632e-05
90,887.279,1.41621,0.76799,0.00294,0.51433,0.59731,0.5717,0.34393,1.46682,0.83454,0.00489,8.48946e-05,8.48946e-05,8.48946e-05
91,902.448,1.41069,0.82178,0.00323,0.67433,0.45354,0.52164,0.30447,1.49299,0.90336,0.00502,7.7826e-05,7.7826e-05,7.7826e-05
92,913.992,1.40671,0.79519,0.00317,0.64437,0.44396,0.49602,0.28977,1.53494,0.92608,0.00511,7.07574e-05,7.07574e-05,7.07574e-05
93,925.302,1.40207,0.76588,0.00313,0.6232,0.44798,0.50027,0.29345,1.51383,0.92901,0.00506,6.36888e-05,6.36888e-05,6.36888e-05
94,935.813,1.36733,0.74097,0.00304,0.60559,0.4692,0.49371,0.28855,1.50703,0.91067,0.00503,5.66202e-05,5.66202e-05,5.66202e-05
95,946.195,1.36088,0.72892,0.00304,0.61814,0.47709,0.50545,0.29619,1.50071,0.89132,0.00502,4.95516e-05,4.95516e-05,4.95516e-05
96,956.483,1.37676,0.73338,0.00301,0.6377,0.47408,0.5246,0.3088,1.50097,0.87501,0.00502,4.2483e-05,4.2483e-05,4.2483e-05
97,967.197,1.35065,0.72778,0.00298,0.66326,0.45769,0.51782,0.30772,1.50542,0.87025,0.00501,3.54144e-05,3.54144e-05,3.54144e-05
98,977.218,1.35431,0.72546,0.00301,0.67876,0.45737,0.52772,0.31179,1.49906,0.86487,0.00501,2.83458e-05,2.83458e-05,2.83458e-05
99,986.972,1.34209,0.72438,0.00294,0.65245,0.47742,0.53129,0.31515,1.50188,0.86264,0.00501,2.12772e-05,2.12772e-05,2.12772e-05
100,996.951,1.32341,0.71832,0.00299,0.64458,0.47824,0.5301,0.31364,1.50186,0.86056,0.00501,1.42086e-05,1.42086e-05,1.42086e-05
